,ExpNum,CodeExclu,Estimate,Cat
51,E13,PE12,0.786267484897368,1
52,E13,PE13,0.7543779616777867,1
53,E13,PE8,0.5584672537846618,1
54,E13,PE9,0.6242226432772716,1
55,E13,PPE13,0.800167760254375,1
56,E13,PPPE13,0.4985845452044099,1
57,E13,T,0.7505323223880985,1
58,E13,TT,0.7878159133409847,1
59,E13,TTT,0.571446406771074,1
60,E8,K,0.7632674248510861,1
61,E8,KK,0.5860347300431286,1
62,E8,KKK,0.5457168587763276,1
63,E8,KKKK,0.6427758381031868,1
64,E8,PC,0.7268733136390996,1
65,E8,PCPC,0.8053219690579994,1
66,E8,PE12,0.786267484897368,1
67,E8,PE13,0.7543779616777867,1
68,E8,PE8,0.5584672537846618,1
69,E8,PE9,0.6242226432772716,1
70,E8,PPE13,0.800167760254375,1
71,E8,PPPE13,0.4985845452044099,1
72,E8,T,0.7505323223880985,1
73,E8,TT,0.7878159133409847,1
74,E8,TTT,0.571446406771074,1
75,E9,K,0.7632674248510861,1
76,E9,KK,0.5860347300431286,1
77,E9,KKK,0.5457168587763276,1
78,E9,KKKK,0.6427758381031868,1
79,E9,PC,0.7268733136390996,1
80,E9,PCPC,0.8053219690579994,1
81,E9,PE12,0.786267484897368,1
82,E9,PE13,0.7543779616777867,1
83,E9,PE8,0.5584672537846618,1
84,E9,PE9,0.6242226432772716,1
85,E9,PPE13,0.800167760254375,1
86,E9,PPPE13,0.4985845452044099,1
87,E9,T,0.7505323223880985,1
88,E9,TT,0.7878159133409847,1
89,E9,TTT,0.571446406771074,1
