,pj,Weight,ExpNum,CodeExclu,pi
85,0.6038426006085206,-0.0,E11,T,0.4267316997552947
86,0.7462065729800312,0.3333333333333333,E11,T,0.4267316997552947
87,0.883915476054874,-0.0,E11,T,0.4267316997552947
88,0.4267316997552947,1.0,E8,PE8,0.6038426006085206
89,0.6038426006085206,0.0,E8,PE8,0.6038426006085206
90,0.7462065729800312,-0.0,E8,PE8,0.6038426006085206
91,0.4267316997552947,-0.0,E8,T,0.6038426006085206
92,0.6038426006085206,0.0,E8,T,0.6038426006085206
93,0.7462065729800312,1.0,E8,T,0.6038426006085206
94,0.6038426006085206,0.0,E8,PC,0.6038426006085206
95,0.7462065729800312,1.0,E8,PC,0.6038426006085206
96,0.883915476054874,-0.0,E8,PC,0.6038426006085206
97,0.4267316997552947,0.33816425120772947,E9,PE9,0.6038426006085206
